ID_GRAFIC,Grup_taxon,Nom_cat,Nom_cien,N_indi,N_obs,Data_obs,x,y,MAPX,MAPY
0,Aus,Falciot negre,Apus apus,0,1,2022-05-01,3.053059200000000,41.806551960000000,3.05305920000000,41.8065519600000
1,Aus,Falciot negre,Apus apus,0,1,2022-05-01,3.028982790000000,41.806560560000001,3.02898279000000,41.8065605600000
2,Aus,Falciot negre,Apus apus,0,2,2022-05-01,3.055615425109900,41.812874879165001,3.05561542510990,41.8128748791650
3,Aus,Falciot negre,Apus apus,6,1,2022-05-01,2.751687280000000,41.914377250000001,2.75168728000000,41.9143772500000
4,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.944692080000000,41.833571470000003,2.94469208000000,41.8335714700000
5,Aus,Falciot negre,Apus apus,14,1,2022-05-01,2.855723805502100,41.846595535452998,2.85572380550210,41.8465955354530
6,Aus,Falciot negre,Apus apus,24,1,2022-05-01,2.743634917805200,41.805711423734998,2.74363491780520,41.8057114237350
7,Aus,Falciot negre,Apus apus,15,1,2022-05-01,2.742847000000000,41.801375999999998,2.74284700000000,41.8013760000000
8,Aus,Falciot negre,Apus apus,15,1,2022-05-01,2.737471050000000,41.925982269999999,2.73747105000000,41.9259822700000
9,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.286800080000000,41.885104650000002,2.28680008000000,41.8851046500000
10,Aus,Falciot negre,Apus apus,4,1,2022-05-01,2.262112000000000,41.931207999999998,2.26211200000000,41.9312080000000
11,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.268757750000000,41.966356900000001,2.26875775000000,41.9663569000000
12,Aus,Falciot negre,Apus apus,25,2,2022-05-01,2.290144490000000,41.998779540000001,2.29014449000000,41.9987795400000
13,Aus,Falciot negre,Apus apus,20,1,2022-05-01,2.280520950000000,41.993450820000000,2.28052095000000,41.9934508200000
14,Aus,Falciot negre,Apus apus,2,1,2022-05-01,2.210088680000000,41.830868610000003,2.21008868000000,41.8308686100000
15,Aus,Falciot negre,Apus apus,1,1,2022-05-01,2.199727580000000,41.695694199999998,2.19972758000000,41.6956942000000
16,Aus,Falciot negre,Apus apus,25,1,2022-05-01,2.093367576599100,41.552044644620999,2.09336757659910,41.5520446446210
17,Aus,Falciot negre,Apus apus,15,2,2022-05-01,2.177870630000000,41.524405469999998,2.17787063000000,41.5244054700000
18,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.193145751953100,41.553168689560998,2.19314575195310,41.5531686895610
19,Aus,Falciot negre,Apus apus,11,1,2022-05-01,2.290919544311700,41.508877581850001,2.29091954431170,41.5088775818500
20,Aus,Falciot negre,Apus apus,25,1,2022-05-01,2.332840220000000,41.606473590000000,2.33284022000000,41.6064735900000
21,Aus,Falciot negre,Apus apus,32,1,2022-05-01,2.344840370000000,41.606542609999998,2.34484037000000,41.6065426100000
22,Aus,Falciot negre,Apus apus,1,1,2022-05-01,2.396712000000000,41.558807000000002,2.39671200000000,41.5588070000000
23,Aus,Falciot negre,Apus apus,2,1,2022-05-01,2.613782000000000,41.629323999999997,2.61378200000000,41.6293240000000
24,Aus,Falciot negre,Apus apus,2,1,2022-05-01,2.505840000000000,41.732407000000002,2.50584000000000,41.7324070000000
25,Aus,Falciot negre,Apus apus,3,1,2022-05-01,2.312784051774900,41.476151216980000,2.31278405177490,41.4761512169800
26,Aus,Falciot negre,Apus apus,4,1,2022-05-01,2.305165529251100,41.497368396779997,2.30516552925110,41.4973683967800
27,Aus,Falciot negre,Apus apus,1,1,2022-05-01,2.298107610000000,41.489173149999999,2.29810761000000,41.4891731500000
28,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.273599680000000,41.492263590000000,2.27359968000000,41.4922635900000
29,Aus,Falciot negre,Apus apus,2,1,2022-05-01,2.106707280000000,41.469831309999996,2.10670728000000,41.4698313100000
30,Aus,Falciot negre,Apus apus,10,1,2022-05-01,2.082297000000000,41.454765000000002,2.08229700000000,41.4547650000000
31,Aus,Falciot negre,Apus apus,20,1,2022-05-01,2.084025580000000,41.379579589999999,2.08402558000000,41.3795795900000
32,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.110383510589600,41.399378782661998,2.11038351058960,41.3993787826620
33,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.119655680000000,41.397872509999999,2.11965568000000,41.3978725100000
34,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.097326517105100,41.331088742752002,2.09732651710510,41.3310887427520
35,Aus,Falciot negre,Apus apus,30,1,2022-05-01,2.119965000000000,41.307276000000002,2.11996500000000,41.3072760000000
36,Aus,Falciot negre,Apus apus,1,1,2022-05-01,2.112223000000000,41.309305999999999,2.11222300000000,41.3093060000000
37,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.114164750000000,41.311484960000001,2.11416475000000,41.3114849600000
38,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.118776486311900,41.303949011721002,2.11877648631190,41.3039490117210
39,Aus,Falciot negre,Apus apus,35,2,2022-05-01,2.124567031860300,41.304569911918001,2.12456703186030,41.3045699119180
40,Aus,Falciot negre,Apus apus,7,1,2022-05-01,2.047330141067500,41.309852782034000,2.04733014106750,41.3098527820340
41,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.064302000000000,41.279142999999998,2.06430200000000,41.2791430000000
42,Aus,Falciot negre,Apus apus,0,1,2022-05-01,2.063609000000000,41.280112000000003,2.06360900000000,41.2801120000000
43,Aus,Falciot negre,Apus apus,0,1,2022-05-01,0.439930890000000,40.607167150000002,0.43993089000000,40.6071671500000
44,Aus,Falciot negre,Apus apus,50,1,2022-05-01,0.521933000000000,40.815204000000001,0.52193300000000,40.8152040000000
45,Aus,Falciot negre,Apus apus,2,1,2022-05-01,0.729694730000000,40.775365880000003,0.72969473000000,40.7753658800000
46,Aus,Falciot negre,Apus apus,6,1,2022-05-01,0.359905517085990,41.455951233362001,0.35990551708599,41.4559512333620
47,Aus,Falciot negre,Apus apus,5,1,2022-05-01,0.419961430000000,41.426344559999997,0.41996143000000,41.4263445600000
48,Aus,Falciot negre,Apus apus,2,1,2022-05-01,0.420317810000000,41.417346230000000,0.42031781000000,41.4173462300000
49,Aus,Falciot negre,Apus apus,0,1,2022-05-01,0.706319000000000,41.486294000000001,0.70631900000000,41.4862940000000
50,Aus,Falciot negre,Apus apus,20,1,2022-05-01,1.160645484924300,41.100310345677002,1.16064548492430,41.1003103456770
51,Aus,Falciot negre,Apus apus,1,1,2022-05-01,1.631292000000000,41.259658000000002,1.63129200000000,41.2596580000000
52,Aus,Falciot negre,Apus apus,80,1,2022-05-01,1.633272171020500,41.258904218642002,1.63327217102050,41.2589042186420
53,Aus,Falciot negre,Apus apus,20,1,2022-05-01,1.982998000000000,41.273876000000001,1.98299800000000,41.2738760000000
54,Aus,Falciot negre,Apus apus,4,1,2022-05-01,1.788110733032200,41.436935500936002,1.78811073303220,41.4369355009360
55,Aus,Falciot negre,Apus apus,16,2,2022-05-01,1.603267670000000,41.491840560000000,1.60326767000000,41.4918405600000
56,Aus,Falciot negre,Apus apus,0,1,2022-05-01,1.108128970000000,41.628866950000003,1.10812897000000,41.6288669500000
57,Aus,Falciot negre,Apus apus,82,1,2022-05-01,1.629114382524800,41.578303409055003,1.62911438252480,41.5783034090550
58,Aus,Falciot negre,Apus apus,15,1,2022-05-01,1.626649400000000,41.519143260000000,1.62664940000000,41.5191432600000
59,Aus,Falciot negre,Apus apus,0,1,2022-05-01,1.863292820000000,41.692858719999997,1.86329282000000,41.6928587200000
60,Aus,Falciot negre,Apus apus,1,1,2022-05-01,1.648172910000000,41.636488460000002,1.64817291000000,41.6364884600000
61,Aus,Falciot negre,Apus apus,0,1,2022-05-01,1.842226982116700,41.776528556049001,1.84222698211670,41.7765285560490
62,Aus,Falciot negre,Apus apus,0,1,2022-05-01,1.308950185775800,41.831128247422001,1.30895018577580,41.8311282474220
63,Aus,Falciot negre,Apus apus,3,1,2022-05-01,1.087934383554000,41.822949722388998,1.08793438355400,41.8229497223890
64,Aus,Falciot negre,Apus apus,10,1,2022-05-01,0.716471554919980,41.899242001380003,0.71647155491998,41.8992420013800
65,Aus,Falciot negre,Apus apus,0,1,2022-05-01,0.818682170000000,41.668768600000000,0.81868217000000,41.6687686000000
66,Aus,Falciot negre,Apus apus,0,1,2022-05-01,0.818073940000000,41.686769679999998,0.81807394000000,41.6867696800000
67,Aus,Falciot negre,Apus apus,0,1,2022-05-01,0.999468300000000,41.589586449999999,0.99946830000000,41.5895864500000
68,Aus,Falciot negre,Apus apus,0,1,2022-05-01,0.626542568206790,41.617944854026000,0.62654256820679,41.6179448540260
69,Aus,Falciot negre,Apus apus,20,1,2022-05-01,1.935127820000000,42.432064580000002,1.93512782000000,42.4320645800000
70,Aus,Falciot negre,Apus apus,0,1,2022-05-01,1.853158180000000,42.260162350000002,1.85315818000000,42.2601623500000
71,Aus,Falciot negre,Apus apus,2,1,2022-05-01,2.171052710000000,42.055757550000003,2.17105271000000,42.0557575500000
