name_month,x_UTM,y_UTM
oreneta_c_2,445408.1347111421,4609299.828041385
oreneta_c_2,445832.6762379126,4608654.384172272
oreneta_c_2,445408.1345207969,4608299.838135557
oreneta_c_2,431077.40180500026,4600903.251506018
oreneta_c_2,433229.9523327801,4604440.643026349
oreneta_c_2,437408.2184012554,4605299.868842844
oreneta_c_2,408776.7880572213,4623746.138851431
oreneta_c_2,408840.7792806136,4623809.619796486
oreneta_c_2,408852.3195201983,4623873.545411747
oreneta_c_2,320409.4196356031,4640299.462687591
oreneta_c_2,385505.6197515692,4568399.1674689045
oreneta_c_2,454220.5105422347,4611919.112317511
oreneta_c_2,295409.7213751484,4567300.21271496
oreneta_c_2,478521.7884224759,4627826.638829213
oreneta_c_2,417760.739072382,4590989.3740726905
oreneta_c_2,346769.4589689161,4549607.275944633
oreneta_c_2,425408.3452498695,4600299.918091185
oreneta_c_2,296409.74136319186,4516300.756393056
oreneta_c_3,431260.7313755432,4594169.809044631
oreneta_c_3,434106.7519047995,4595985.119085252
oreneta_c_3,436201.4151533868,4599338.146663339
oreneta_c_3,436408.2300703478,4599299.930668994
oreneta_c_3,434850.8351634578,4597675.313261068
oreneta_c_3,436408.2300703478,4599299.930668994
oreneta_c_3,436464.574821916,4599298.737475452
oreneta_c_3,436341.0348322625,4599201.800694742
oreneta_c_3,433408.26266817417,4595299.972439735
oreneta_c_3,508189.4446679838,4673351.507541998
oreneta_c_3,507684.4877834792,4674286.158633736
oreneta_c_3,508227.1367974517,4672900.880334603
oreneta_c_3,508508.4792775893,4676645.13459608
oreneta_c_3,508525.4788654246,4676867.132755664
oreneta_c_3,508370.55132737954,4673222.7122869175
oreneta_c_3,508132.48304658895,4673326.169247445
oreneta_c_3,508407.479909626,4673299.169301422
oreneta_c_3,507944.20977475046,4673411.773975066
oreneta_c_3,507815.82038007246,4674372.822647463
oreneta_c_3,507906.4852426308,4674571.15617817
oreneta_c_3,508525.4788654246,4676867.132755664
oreneta_c_3,508132.48304658895,4673326.169247445
oreneta_c_3,508132.48304658895,4673326.169247445
oreneta_c_3,508525.4788654246,4676867.132755664
oreneta_c_3,508096.08059949486,4673030.779213107
oreneta_c_3,508096.08059949486,4673030.779213107
oreneta_c_3,507755.4864589897,4674704.154862421
oreneta_c_3,508508.4792775893,4676645.13459608
oreneta_c_3,508141.4727867478,4673026.359151215
oreneta_c_3,508132.48304658895,4673326.169247445
oreneta_c_3,508327.06862085685,4673531.091938918
oreneta_c_3,507822.4864196053,4674380.158253153
oreneta_c_3,508189.4446679838,4673351.507541998
oreneta_c_3,508132.48304658895,4673326.169247445
oreneta_c_3,508178.89380394144,4673428.675527123
oreneta_c_3,508508.4792775893,4676645.13459608
oreneta_c_3,508132.48304658895,4673326.169247445
oreneta_c_3,508614.47783594986,4672886.173204514
oreneta_c_3,508302.0534994998,4673052.978125657
oreneta_c_3,508378.32216057,4673212.839583422
oreneta_c_3,508508.4792775893,4676645.13459608
oreneta_c_3,507740.0251246602,4674702.729933747
oreneta_c_3,508132.48304658895,4673326.169247445
oreneta_c_3,507944.20977475046,4673411.773975066
oreneta_c_3,508132.48304658895,4673326.169247445
