name_month,x_UTM,y_UTM
falsiot_3,515407.4078574308,4653299.375198023
falsiot_3,502701.8148805309,4625806.724393382
falsiot_3,436408.2298764216,4603299.888892612
falsiot_3,432749.35129182297,4601374.761759287
falsiot_3,437408.2184012554,4605299.868842844
falsiot_3,437672.71147553367,4605418.263121651
falsiot_3,437043.5025781142,4605460.716942005
falsiot_3,455725.353870305,4600447.757736302
falsiot_3,456944.9194150847,4602759.009352243
falsiot_3,468407.89591313247,4605299.872178334
falsiot_3,416805.0498090387,4601410.076206392
falsiot_3,418182.5754314135,4600870.422499525
falsiot_3,420254.9152766184,4573592.256271751
falsiot_3,421412.3939452834,4570331.233175637
falsiot_3,423499.37086183095,4572624.209249267
falsiot_3,429408.3075795907,4579300.139830291
falsiot_3,508380.732379477,4673476.324117491
falsiot_3,507934.105424303,4673403.634952108
falsiot_3,508327.06862085685,4673531.091938918
falsiot_3,508601.18381702673,4672879.898015086
falsiot_3,508508.4792775893,4676645.13459608
falsiot_3,502890.3503074646,4676799.48546599
falsiot_3,508132.48304658895,4673326.169247445
falsiot_3,508327.06862085685,4673531.091938918
falsiot_3,484489.4807230953,4648581.873808589
falsiot_3,485012.3281757524,4646840.623903445
falsiot_3,484407.7268299263,4647299.436734917
falsiot_3,393518.6259351632,4564503.048838268
falsiot_3,389401.97648645897,4562904.793436025
falsiot_3,403898.77458452666,4622468.671846328
falsiot_3,402408.5784340143,4622299.682304544
falsiot_3,405408.547257883,4624299.663099438
falsiot_3,380646.614523164,4621705.520519214
falsiot_3,390331.87544684607,4641684.332721214
falsiot_3,423408.3606791796,4622299.688267618
falsiot_3,405179.8237975363,4692818.771669129
falsiot_3,428408.31450537685,4597299.950897118
falsiot_3,429408.30671128695,4583300.097551039
falsiot_3,427926.99009661423,4580809.031426457
falsiot_3,427195.0577689863,4580868.752590227
falsiot_3,408983.2147494598,4575604.481316671
falsiot_3,293192.8751748954,4598667.029409274
falsiot_3,290220.81067207427,4496077.148313813
falsiot_3,446267.8555195837,4608810.331403408
falsiot_3,378328.8085977232,4560351.97234246
falsiot_3,383112.67217041657,4594281.043070396
falsiot_3,302409.62276868406,4610299.764278679
falsiot_3,301959.80253852287,4609534.988720611
falsiot_3,472532.5878090912,4634181.055045237
falsiot_3,441408.17602416384,4611299.806871568
falsiot_3,441408.17602416384,4611299.806871568
falsiot_3,441408.1758681556,4612299.795924725
falsiot_3,344409.1858355012,4610299.786591475
falsiot_3,441701.1652181678,4654063.362448832
falsiot_3,440408.1793018544,4650299.401479536
falsiot_3,488277.2387272344,4633942.467991784
falsiot_3,441210.1715324958,4649884.405307642
falsiot_3,440828.17744971067,4637265.536122749
falsiot_3,431996.3690602164,4583905.714459685
falsiot_3,307971.44532592595,4515965.061771948
falsiot_3,341205.44197388215,4558148.311659843
falsiot_3,329354.33885508205,4616517.714011036
falsiot_3,478521.7884224759,4627826.638829213
falsiot_3,438550.98712168,4649522.573139753
falsiot_3,510407.4597217949,4680299.097690408
falsiot_3,511407.44985044736,4692298.974109563
falsiot_4,509789.5875547127,4633646.065723132
falsiot_4,485320.7172709404,4647043.439868461
falsiot_4,487100.6993058368,4646295.44752147
falsiot_4,486407.7062069212,4644299.468358429
falsiot_4,484877.7625308737,4649169.106409953
falsiot_4,484798.8397292192,4647519.749129926
falsiot_4,485407.7165609474,4646299.447218301
falsiot_4,483656.1102875632,4648256.708104169
falsiot_4,484308.1532738501,4648419.709121664
falsiot_4,483656.1102875632,4648256.708104169
falsiot_4,484495.7907108718,4647063.076256504
falsiot_4,485403.11010772776,4648475.899659148
falsiot_4,484489.4807230953,4648581.873808589
falsiot_4,485390.4203883443,4648237.974808954
falsiot_4,484614.1838792868,4648667.966345349
falsiot_4,484702.1257603283,4648618.035060428
falsiot_4,484151.75759756425,4632115.623143968
falsiot_4,488164.6888054249,4633530.579546829
falsiot_4,488164.6888054249,4633530.579546829
falsiot_4,486597.7047360983,4634704.5672396775
falsiot_4,489483.3057395058,4634193.948449253
falsiot_4,488158.690435806,4633480.46111045
falsiot_4,488164.6888054249,4633530.579546829
falsiot_4,488161.2749814805,4633137.385491071
falsiot_4,487603.7516745585,4633654.161669533
falsiot_4,479785.8479267438,4620107.906485582
falsiot_4,477581.8378699208,4627614.24582226
falsiot_4,473144.3352731095,4620923.609385971
falsiot_4,468108.7833345097,4647940.532239638
falsiot_4,468108.7833345097,4647940.532239638
falsiot_4,468180.23419698025,4646954.3611340085
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,468180.23419698025,4646954.3611340085
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,466407.9121293943,4647299.435208147
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,468180.23419698025,4646954.3611340085
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,468346.4440855341,4646034.058025247
falsiot_4,467708.2529754733,4648500.23970044
falsiot_4,468108.7833345097,4647940.532239638
falsiot_4,469087.2942070008,4646676.639871458
falsiot_4,424408.3490624647,4629299.615563257
falsiot_4,426421.964606285,4622292.968401101
falsiot_4,422496.6271354494,4628582.004203844
falsiot_4,439680.5480332191,4600611.292642825
falsiot_4,433408.261216068,4601299.90998808
falsiot_4,439944.2359060041,4605876.919380662
falsiot_4,437408.2184012554,4605299.868842844
falsiot_4,434408.2508565239,4601299.909923979
falsiot_4,430408.29071959417,4608299.836050717
falsiot_4,437408.2184012554,4605299.868842844
falsiot_4,431209.7207500209,4601654.262822262
falsiot_4,439124.7362207911,4601980.667476644
falsiot_4,432408.2715278687,4601299.908980772
falsiot_4,436615.8149626273,4609381.035414679
falsiot_4,437090.3657143938,4605475.488079345
falsiot_4,437090.3657143938,4605475.488079345
