,ID_GRAFIC,Grup_taxon,Nom_cat,Nom_cien,N_indi,N_obs,Data_obs,x,y,MAPX,MAPY,x_UTM,y_UTM
37,37,Aus,Falciot negre,Apus apus,13,1,2017-03-30,2.173528892763,41.439912851715,2.173528892763,41.439912851715,430956.4081091529,4587923.014800227
38,38,Aus,Falciot negre,Apus apus,4,1,2017-03-30,2.187685,41.389135,2.187685,41.389135,432086.14977480087,4582274.518370454
39,39,Aus,Falciot negre,Apus apus,3,1,2017-03-30,2.09610792,41.37066773,2.09610792,41.37066773,424408.35956173367,4580300.128541727
40,40,Aus,Falciot negre,Apus apus,10,1,2017-03-30,2.12412458,41.30193214,2.12412458,41.30193214,426674.3378863718,4572645.209937798
41,41,Aus,Falciot negre,Apus apus,3,1,2017-03-31,2.06401711,41.93785062,2.06401711,41.93785062,422408.36682843586,4643299.470137377
42,42,Aus,Falciot negre,Apus apus,1,1,2017-03-31,2.358,41.48952305,2.358,41.48952305,446408.12705556466,4593299.995416119
43,43,Aus,Falciot negre,Apus apus,3,1,2017-03-31,1.8441581726074,41.748230714407,1.8441581726074,41.748230714407,403898.7745584572,4622468.6723360615
44,44,Aus,Falciot negre,Apus apus,1,1,2017-03-31,0.89217545,41.62510852,0.89217545,41.62510852,324409.39405907755,4610299.776736367
45,45,Aus,Falciot negre,Apus apus,30,1,2017-03-31,0.62862126,41.61096505,0.62862126,41.61096505,302409.6230312142,4609299.77558908
46,46,Aus,Falciot negre,Apus apus,24,1,2017-03-31,2.7636720661174,42.13209671904,2.7636720661174,42.13209671904,480468.40841630625,4664469.963830827
47,47,Aus,Falciot negre,Apus apus,3,1,2017-03-31,3.101859,42.24198,3.101859,42.24198,508403.6852610731,4676648.577196493
48,48,Aus,Falciot negre,Apus apus,0,1,2017-03-31,3.09852529,42.21206028,3.09852529,42.21206028,508132.48304658895,4673326.169247445
49,49,Aus,Falciot negre,Apus apus,8,1,2017-03-31,3.10185649,42.2118142,3.10185649,42.2118142,508407.479909626,4673299.169301422
