name_month,x_UTM,y_UTM
abellerol_2,413723.9274263448,4592262.742252604
abellerol_3,405179.8237975363,4692818.771669129
abellerol_3,409048.4531694948,4625266.45591716
abellerol_4,465302.0673695136,4619443.37255717
abellerol_4,466969.7620613215,4611202.359531423
abellerol_4,464523.8841355544,4615360.723462101
abellerol_4,431602.4138595221,4609863.19793044
abellerol_4,430408.290566553,4609299.825647786
abellerol_4,431209.7207500209,4601654.262822262
abellerol_4,431209.7207500209,4601654.262822262
abellerol_4,437090.3657143938,4605475.488079345
abellerol_4,433408.261216068,4601299.90998808
abellerol_4,437408.2184012554,4605299.868842844
abellerol_4,437408.2184012554,4605299.868842844
abellerol_4,437076.3024728434,4605456.432776026
abellerol_4,424464.5318169639,4575905.084245787
abellerol_4,421660.3905801407,4570531.231106391
abellerol_4,421408.393803898,4570300.233573591
abellerol_4,421439.061742909,4574189.448838694
abellerol_4,426187.63712055713,4573301.193234992
abellerol_4,421660.3905801407,4570531.231106391
abellerol_4,429445.30697145406,4579515.137412079
abellerol_4,421660.3905801407,4570531.231106391
abellerol_4,421660.3905801407,4570531.231106391
abellerol_4,289931.5382312447,4519252.515971343
abellerol_4,309713.5901562843,4597912.142052327
abellerol_4,309400.1409877179,4597535.829957683
abellerol_4,306031.47653063387,4596757.6528272815
abellerol_4,309713.5901562843,4597912.142052327
abellerol_4,303517.7794901916,4599319.834774283
abellerol_4,308621.9012085254,4598307.089882204
abellerol_4,306851.48741809535,4593587.913716246
abellerol_4,308518.9663802857,4595353.783761634
abellerol_4,309603.9069459238,4596307.154659692
abellerol_4,309713.5901562843,4597912.142052327
abellerol_4,309713.5901562843,4597912.142052327
abellerol_4,308642.5658350836,4595367.924804539
abellerol_4,309855.5044514311,4597786.466960398
abellerol_4,308281.56823903567,4598616.890337966
abellerol_4,304643.93053545774,4599640.906037134
abellerol_4,309270.1805566043,4597526.266329098
abellerol_4,309713.5901562843,4597912.142052327
abellerol_4,308350.1731490466,4596522.680300583
abellerol_4,309409.5566634268,4598299.893879842
abellerol_4,309713.5901562843,4597912.142052327
abellerol_4,309505.348990661,4597683.3787566
abellerol_4,308642.5658350836,4595367.924804539
abellerol_4,301867.3768366253,4599060.236581554
abellerol_4,308409.57143349526,4590299.977513922
abellerol_4,309748.0963372557,4597884.407968431
abellerol_4,306818.4630022625,4596205.339484712
abellerol_4,468180.23419698025,4646954.3611340085
abellerol_4,465407.9223041073,4648299.42483955
abellerol_4,303383.3980965896,4532088.1068916535
abellerol_4,281096.9648845993,4544378.444174173
abellerol_4,337409.28808818024,4548300.436542589
abellerol_4,397508.64092458365,4565348.28228704
abellerol_4,393408.6899417257,4565300.278501941
abellerol_4,393408.6899417257,4565300.278501941
abellerol_4,393768.8922522598,4565017.430073688
abellerol_4,392408.7006769369,4563300.299509993
abellerol_4,393408.6899417257,4565300.278501941
abellerol_4,393408.6899417257,4565300.278501941
abellerol_4,392408.7000112069,4566300.267321725
abellerol_4,393792.46409021947,4564438.554518628
abellerol_4,389566.85661596665,4563920.43522264
abellerol_4,385505.6197515692,4568399.1674689045
abellerol_4,385505.6197515692,4568399.1674689045
abellerol_4,385408.77306264034,4568300.243929038
abellerol_4,385341.4652116314,4568479.904218825
abellerol_4,388651.1499994697,4567448.349905966
abellerol_4,378328.8085977232,4560351.97234246
abellerol_4,346469.3831548856,4621358.940439276
abellerol_4,346469.3831548856,4621358.940439276
abellerol_4,346024.3711707649,4630567.093096409
abellerol_4,308137.68724468374,4608038.9753242815
abellerol_4,303816.6125656002,4602486.846864951
abellerol_4,307409.57655923825,4600299.872264145
abellerol_4,306023.8908530547,4600191.188686712
abellerol_4,306409.58661410824,4600299.871507896
abellerol_4,301134.56896042626,4600939.276452855
abellerol_4,303816.6125656002,4602486.846864951
abellerol_4,304409.60663906176,4602299.849944021
abellerol_4,304105.42147903587,4602161.240939278
abellerol_4,304209.6390115003,4602730.752653177
