name_month,x_UTM,y_UTM,N_obs,month,year
abellerol_2,413723.92742634483,4592262.742252604,1,2,2022
abellerol_3,405179.8237975363,4692818.771669129,1,3,2022
abellerol_3,409048.45316949475,4625266.45591716,1,3,2022
abellerol_4,469085.05019076174,4612999.6180154225,1,4,2022
abellerol_4,430408.290566553,4609299.825647786,1,4,2022
abellerol_4,424464.5318169639,4575905.084245787,1,4,2022
abellerol_4,289931.5382312447,4519252.515971343,1,4,2022
abellerol_4,308621.9012085254,4598307.089882204,1,4,2022
abellerol_4,465407.9223041073,4648299.42483955,1,4,2022
abellerol_4,466969.76206132147,4611202.359531423,1,4,2022
abellerol_4,421660.3905801407,4570531.231106391,1,4,2022
abellerol_4,309884.74781833217,4530813.753099344,1,4,2022
abellerol_4,281096.9648845993,4544378.444174173,1,4,2022
abellerol_4,337409.28808818024,4548300.436542589,1,4,2022
abellerol_4,397508.64092458365,4565348.28228704,1,4,2022
abellerol_4,393408.6899417257,4565300.278501941,1,4,2022
abellerol_4,389566.85661596665,4563920.43522264,1,4,2022
abellerol_4,378328.8085977232,4560351.97234246,1,4,2022
abellerol_4,346469.3831548856,4621358.9404392755,1,4,2022
abellerol_4,346024.3711707649,4630567.093096409,1,4,2022
abellerol_4,309713.5901562843,4597912.142052327,1,4,2022
abellerol_4,303816.6125656002,4602486.846864951,1,4,2022
abellerol_4,296147.69403267256,4599049.878629168,1,4,2022
abellerol_4,293192.8751748954,4598667.029409274,1,4,2022
abellerol_4,326409.341700632,4672299.1364694135,2,4,2022
abellerol_4,480289.5272371458,4654997.946333272,1,4,2022
abellerol_4,505918.8868997925,4679450.096321387,1,4,2022
abellerol_4,443408.1502563411,4643299.473476773,1,4,2022
abellerol_4,424408.3490624647,4629299.615563257,1,4,2022
abellerol_4,433408.25831674115,4616299.753072591,1,4,2022
abellerol_4,274311.6811303062,4537028.720535309,1,4,2022
abellerol_4,385408.77306264034,4568300.243929038,1,4,2022
abellerol_4,346409.16049793,4619299.693779036,1,4,2022
abellerol_4,346409.1624480324,4615299.735373288,1,4,2022
abellerol_4,345409.1747357089,4612299.765790028,1,4,2022
abellerol_4,410436.7592887733,4652985.09664213,1,4,2022
abellerol_4,439408.188749021,4658299.3181850575,1,4,2022
abellerol_4,470576.56330750126,4650781.918681375,1,4,2022
abellerol_4,431209.72075002093,4601654.262822262,1,4,2022
abellerol_4,446408.1241607286,4607299.849471132,1,4,2022
abellerol_4,465302.0673695136,4619443.37255717,1,4,2022
